[0.000000] (-) TimerEvent: {}
[0.004536] (-) JobUnselected: {'identifier': 'planning_debug_tools'}
[0.004550] (-) JobUnselected: {'identifier': 'planning_error_monitor'}
[0.004565] (-) JobUnselected: {'identifier': 'planning_evaluator'}
[0.004580] (-) JobUnselected: {'identifier': 'pointcloud_preprocessor'}
[0.004594] (-) JobUnselected: {'identifier': 'pointcloud_to_laserscan'}
[0.004609] (-) JobUnselected: {'identifier': 'polar_grid'}
[0.004623] (-) JobUnselected: {'identifier': 'pose2twist'}
[0.004638] (-) JobUnselected: {'identifier': 'pose_initializer'}
[0.004652] (-) JobUnselected: {'identifier': 'probabilistic_occupancy_grid_map'}
[0.004667] (-) JobUnselected: {'identifier': 'pure_pursuit'}
[0.004682] (-) JobUnselected: {'identifier': 'radar_fusion_to_detected_object'}
[0.004696] (-) JobUnselected: {'identifier': 'radar_static_pointcloud_filter'}
[0.004711] (-) JobUnselected: {'identifier': 'radar_threshold_filter'}
[0.004725] (-) JobUnselected: {'identifier': 'radar_tracks_msgs_converter'}
[0.004740] (-) JobUnselected: {'identifier': 'raw_vehicle_cmd_converter'}
[0.004754] (-) JobUnselected: {'identifier': 'route_handler'}
[0.004769] (-) JobUnselected: {'identifier': 'rtc_auto_mode_manager'}
[0.004783] (-) JobUnselected: {'identifier': 'rtc_interface'}
[0.004797] (-) JobUnselected: {'identifier': 'rtc_manager_rviz_plugin'}
[0.004812] (-) JobUnselected: {'identifier': 'rtc_replayer'}
[0.004826] (-) JobUnselected: {'identifier': 'sample_sensor_kit_description'}
[0.004841] (-) JobUnselected: {'identifier': 'sample_sensor_kit_launch'}
[0.004855] (-) JobUnselected: {'identifier': 'sample_vehicle_description'}
[0.004870] (-) JobUnselected: {'identifier': 'sample_vehicle_launch'}
[0.004884] (-) JobUnselected: {'identifier': 'scenario_selector'}
[0.004899] (-) JobUnselected: {'identifier': 'shape_estimation'}
[0.004913] (-) JobUnselected: {'identifier': 'shift_decider'}
[0.004928] (-) JobUnselected: {'identifier': 'signal_processing'}
[0.004942] (-) JobUnselected: {'identifier': 'simple_planning_simulator'}
[0.004957] (-) JobUnselected: {'identifier': 'simulator_compatibility_test'}
[0.004971] (-) JobUnselected: {'identifier': 'static_centerline_optimizer'}
[0.004986] (-) JobUnselected: {'identifier': 'steer_offset_estimator'}
[0.005000] (-) JobUnselected: {'identifier': 'stop_filter'}
[0.005015] (-) JobUnselected: {'identifier': 'surround_obstacle_checker'}
[0.005030] (-) JobUnselected: {'identifier': 'system_error_monitor'}
[0.005044] (-) JobUnselected: {'identifier': 'system_monitor'}
[0.005059] (-) JobUnselected: {'identifier': 'tamagawa_imu_driver'}
[0.005077] (-) JobUnselected: {'identifier': 'tensorrt_common'}
[0.005091] (-) JobUnselected: {'identifier': 'tensorrt_yolo'}
[0.005106] (-) JobUnselected: {'identifier': 'tensorrt_yolox'}
[0.005121] (-) JobUnselected: {'identifier': 'tier4_api_msgs'}
[0.005135] (-) JobUnselected: {'identifier': 'tier4_api_utils'}
[0.005150] (-) JobUnselected: {'identifier': 'tier4_auto_msgs_converter'}
[0.005164] (-) JobUnselected: {'identifier': 'tier4_autoware_api_launch'}
[0.005179] (-) JobUnselected: {'identifier': 'tier4_autoware_utils'}
[0.005193] (-) JobUnselected: {'identifier': 'tier4_calibration_rviz_plugin'}
[0.005208] (-) JobUnselected: {'identifier': 'tier4_control_launch'}
[0.005222] (-) JobUnselected: {'identifier': 'tier4_control_msgs'}
[0.005237] (-) JobUnselected: {'identifier': 'tier4_control_rviz_plugin'}
[0.005251] (-) JobUnselected: {'identifier': 'tier4_datetime_rviz_plugin'}
[0.005266] (-) JobUnselected: {'identifier': 'tier4_debug_msgs'}
[0.005280] (-) JobUnselected: {'identifier': 'tier4_debug_rviz_plugin'}
[0.005294] (-) JobUnselected: {'identifier': 'tier4_debug_tools'}
[0.005309] (-) JobUnselected: {'identifier': 'tier4_external_api_msgs'}
[0.005323] (-) JobUnselected: {'identifier': 'tier4_hmi_msgs'}
[0.005338] (-) JobUnselected: {'identifier': 'tier4_localization_launch'}
[0.005352] (-) JobUnselected: {'identifier': 'tier4_localization_msgs'}
[0.005367] (-) JobUnselected: {'identifier': 'tier4_localization_rviz_plugin'}
[0.005381] (-) JobUnselected: {'identifier': 'tier4_map_launch'}
[0.005395] (-) JobUnselected: {'identifier': 'tier4_pcl_extensions'}
[0.005410] (-) JobUnselected: {'identifier': 'tier4_perception_launch'}
[0.005424] (-) JobUnselected: {'identifier': 'tier4_perception_msgs'}
[0.005439] (-) JobUnselected: {'identifier': 'tier4_perception_rviz_plugin'}
[0.005453] (-) JobUnselected: {'identifier': 'tier4_planning_launch'}
[0.005468] (-) JobUnselected: {'identifier': 'tier4_planning_msgs'}
[0.005483] (-) JobUnselected: {'identifier': 'tier4_planning_rviz_plugin'}
[0.005497] (-) JobUnselected: {'identifier': 'tier4_rtc_msgs'}
[0.005512] (-) JobUnselected: {'identifier': 'tier4_screen_capture_rviz_plugin'}
[0.005527] (-) JobUnselected: {'identifier': 'tier4_sensing_launch'}
[0.005541] (-) JobUnselected: {'identifier': 'tier4_simulated_clock_rviz_plugin'}
[0.005556] (-) JobUnselected: {'identifier': 'tier4_simulation_msgs'}
[0.005570] (-) JobUnselected: {'identifier': 'tier4_simulator_launch'}
[0.005585] (-) JobUnselected: {'identifier': 'tier4_state_rviz_plugin'}
[0.005599] (-) JobUnselected: {'identifier': 'tier4_system_launch'}
[0.005613] (-) JobUnselected: {'identifier': 'tier4_system_msgs'}
[0.005628] (-) JobUnselected: {'identifier': 'tier4_traffic_light_rviz_plugin'}
[0.005643] (-) JobUnselected: {'identifier': 'tier4_v2x_msgs'}
[0.005657] (-) JobUnselected: {'identifier': 'tier4_vehicle_launch'}
[0.005672] (-) JobUnselected: {'identifier': 'tier4_vehicle_msgs'}
[0.005687] (-) JobUnselected: {'identifier': 'tier4_vehicle_rviz_plugin'}
[0.005701] (-) JobUnselected: {'identifier': 'time_utils'}
[0.005716] (-) JobUnselected: {'identifier': 'topic_state_monitor'}
[0.005730] (-) JobUnselected: {'identifier': 'traffic_light_classifier'}
[0.005745] (-) JobUnselected: {'identifier': 'traffic_light_map_based_detector'}
[0.005759] (-) JobUnselected: {'identifier': 'traffic_light_ssd_fine_detector'}
[0.005773] (-) JobUnselected: {'identifier': 'traffic_light_visualization'}
[0.005788] (-) JobUnselected: {'identifier': 'trajectory_follower'}
[0.005802] (-) JobUnselected: {'identifier': 'trajectory_follower_nodes'}
[0.005817] (-) JobUnselected: {'identifier': 'trtexec_vendor'}
[0.005831] (-) JobUnselected: {'identifier': 'twist2accel'}
[0.005846] (-) JobUnselected: {'identifier': 'vehicle_cmd_gate'}
[0.005860] (-) JobUnselected: {'identifier': 'vehicle_info_util'}
[0.005874] (-) JobUnselected: {'identifier': 'vehicle_velocity_converter'}
[0.005889] (-) JobUnselected: {'identifier': 'velodyne_description'}
[0.005903] (-) JobUnselected: {'identifier': 'velodyne_driver'}
[0.005921] (-) JobUnselected: {'identifier': 'velodyne_monitor'}
[0.005935] (-) JobUnselected: {'identifier': 'velodyne_msgs'}
[0.005950] (-) JobUnselected: {'identifier': 'velodyne_pointcloud'}
[0.005964] (-) JobUnselected: {'identifier': 'vls_description'}
[0.005978] (-) JobUnselected: {'identifier': 'web_controller'}
[0.005996] (autoware_lint_common) JobQueued: {'identifier': 'autoware_lint_common', 'dependencies': OrderedDict()}
[0.006073] (autoware_cmake) JobQueued: {'identifier': 'autoware_cmake', 'dependencies': OrderedDict([('autoware_lint_common', '/home/cityu/autoware/install/autoware_lint_common')])}
[0.006095] (autoware_auto_common) JobQueued: {'identifier': 'autoware_auto_common', 'dependencies': OrderedDict([('autoware_lint_common', '/home/cityu/autoware/install/autoware_lint_common'), ('autoware_cmake', '/home/cityu/autoware/install/autoware_cmake')])}
[0.006121] (tvm_utility) JobQueued: {'identifier': 'tvm_utility', 'dependencies': OrderedDict([('autoware_lint_common', '/home/cityu/autoware/install/autoware_lint_common'), ('autoware_cmake', '/home/cityu/autoware/install/autoware_cmake'), ('autoware_auto_common', '/home/cityu/autoware/install/autoware_auto_common')])}
[0.006147] (autoware_lint_common) JobStarted: {'identifier': 'autoware_lint_common'}
[0.016946] (autoware_lint_common) JobProgress: {'identifier': 'autoware_lint_common', 'progress': 'cmake'}
[0.017866] (autoware_lint_common) JobProgress: {'identifier': 'autoware_lint_common', 'progress': 'build'}
[0.017909] (autoware_lint_common) Command: {'cmd': ['/usr/bin/cmake', '--build', '/home/cityu/autoware/build/autoware_lint_common', '--', '-j16', '-l16'], 'cwd': '/home/cityu/autoware/build/autoware_lint_common', 'env': OrderedDict([('LESSOPEN', '| /usr/bin/lesspipe %s'), ('HTTPS_PROXY', 'http://127.0.0.1:7890/'), ('no_proxy', 'localhost,127.0.0.0/8,::1,10.0.0.0/8,172.16.0.0/12,192.168.0.0/16'), ('USER', 'cityu'), ('all_proxy', 'socks://127.0.0.1:7891/'), ('SSH_AGENT_PID', '1587'), ('XDG_SESSION_TYPE', 'x11'), ('SHLVL', '1'), ('LD_LIBRARY_PATH', '/usr/local/cuda/lib64:/opt/ros/galactic/opt/yaml_cpp_vendor/lib:/opt/ros/galactic/opt/rviz_ogre_vendor/lib:/opt/ros/galactic/lib/x86_64-linux-gnu:/opt/ros/galactic/lib'), ('HOME', '/home/cityu'), ('OLDPWD', '/home/cityu/autoware/artifacts'), ('DESKTOP_SESSION', 'ubuntu'), ('NO_PROXY', 'localhost,127.0.0.0/8,::1,10.0.0.0/8,172.16.0.0/12,192.168.0.0/16'), ('ROS_PYTHON_VERSION', '3'), ('GNOME_SHELL_SESSION_MODE', 'ubuntu'), ('GTK_MODULES', 'gail:atk-bridge'), ('MANAGERPID', '1413'), ('DBUS_STARTER_BUS_TYPE', 'session'), ('DBUS_SESSION_BUS_ADDRESS', 'unix:path=/run/user/1000/bus,guid=867932327b6abe78cd355a086438d338'), ('COLORTERM', 'truecolor'), ('IM_CONFIG_PHASE', '1'), ('https_proxy', 'http://127.0.0.1:7890/'), ('ROS_DISTRO', 'galactic'), ('LOGNAME', 'cityu'), ('ALL_PROXY', 'socks://127.0.0.1:7891/'), ('http_proxy', 'http://127.0.0.1:7890/'), ('JOURNAL_STREAM', '8:40284'), ('_', '/usr/bin/colcon'), ('ROS_VERSION', '2'), ('XDG_SESSION_CLASS', 'user'), ('USERNAME', 'cityu'), ('TERM', 'xterm-256color'), ('GNOME_DESKTOP_SESSION_ID', 'this-is-deprecated'), ('ROS_LOCALHOST_ONLY', '0'), ('WINDOWPATH', '2'), ('PATH', '/usr/local/cuda/bin:/opt/ros/galactic/bin:/home/cityu/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/cityu/.local/bin:/home/cityu/.local/bin'), ('SESSION_MANAGER', 'local/cityu-autoware:@/tmp/.ICE-unix/1622,unix/cityu-autoware:/tmp/.ICE-unix/1622'), ('INVOCATION_ID', 'bfbb74fcfc3745d19f4a6c49582f7fd5'), ('XDG_MENU_PREFIX', 'gnome-'), ('GNOME_TERMINAL_SCREEN', '/org/gnome/Terminal/screen/617d4bea_b220_4230_9d1a_c257fcc862b2'), ('XDG_RUNTIME_DIR', '/run/user/1000'), ('DISPLAY', ':1'), ('LANG', 'en_US.UTF-8'), ('XDG_CURRENT_DESKTOP', 'ubuntu:GNOME'), ('RMW_IMPLEMENTATION', 'rmw_cyclonedds_cpp'), ('XMODIFIERS', '@im=ibus'), ('XDG_SESSION_DESKTOP', 'ubuntu'), ('XAUTHORITY', '/run/user/1000/gdm/Xauthority'), ('LS_COLORS', 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:'), ('GNOME_TERMINAL_SERVICE', ':1.102'), ('SSH_AUTH_SOCK', '/run/user/1000/keyring/ssh'), ('AMENT_PREFIX_PATH', '/opt/ros/galactic'), ('SHELL', '/bin/bash'), ('QT_ACCESSIBILITY', '1'), ('GDMSESSION', 'ubuntu'), ('LESSCLOSE', '/usr/bin/lesspipe %s %s'), ('GPG_AGENT_INFO', '/run/user/1000/gnupg/S.gpg-agent:0:1'), ('QT_IM_MODULE', 'ibus'), ('PWD', '/home/cityu/autoware/build/autoware_lint_common'), ('LC_ALL', 'en_US.UTF-8'), ('XDG_CONFIG_DIRS', '/etc/xdg/xdg-ubuntu:/etc/xdg'), ('DBUS_STARTER_ADDRESS', 'unix:path=/run/user/1000/bus,guid=867932327b6abe78cd355a086438d338'), ('XDG_DATA_DIRS', '/usr/share/ubuntu:/usr/local/share/:/usr/share/:/var/lib/snapd/desktop'), ('PYTHONPATH', '/opt/ros/galactic/lib/python3.8/site-packages'), ('HTTP_PROXY', 'http://127.0.0.1:7890/'), ('COLCON', '1'), ('VTE_VERSION', '6003'), ('CMAKE_PREFIX_PATH', '/opt/ros/galactic')]), 'shell': False}
[0.049147] (autoware_lint_common) CommandEnded: {'returncode': 0}
[0.065548] (autoware_lint_common) JobProgress: {'identifier': 'autoware_lint_common', 'progress': 'install'}
